Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
611120 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611190 - Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611211 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611212 -- Of synthetic fibres,"6,306",10.00,10.00,1,,,,Costa Rica
611219 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
611220 - Ski suits,,10.00,10.00,6,,,,Costa Rica
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611239 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611249 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Costa Rica
611420 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611430 - Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
611490 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Costa Rica
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Costa Rica
611529 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611595 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611599 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Costa Rica
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611692 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611699 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,5,,,,Costa Rica
611780 - Other accessories,,10.00,10.00,5,,,,Costa Rica
611790 - Parts,,10.00,10.00,1,,,,Costa Rica
,2010,,10.00,10.00,191,60,,,Costa Rica
610120 - Of cotton,,,,1,1,,,Costa Rica
610130 - Of man-made fibres,,,,2,2,,,Costa Rica
610190 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610210 - Of wool or fine animal hair,,,,1,1,,,Costa Rica
610220 - Of cotton,,,,1,1,,,Costa Rica
610230 - Of man-made fibres,,,,2,2,,,Costa Rica
610290 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610310 - Suits,,10.00,10.00,4,,,,Costa Rica
610322 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610329 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610332 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610339 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610342 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610349 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610419 -- Of other textile materials,,,,3,3,,,Costa Rica
610422 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610429 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610432 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610439 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610441 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610442 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610443 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610444 -- Of artificial fibres,,,,1,1,,,Costa Rica
610449 -- Of other textile materials,,,,2,2,,,Costa Rica
610451 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610452 -- Of cotton,,,,1,1,,,Costa Rica
610453 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610459 -- Of other textile materials,,,,3,3,,,Costa Rica
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610462 -- Of cotton,,,,1,1,,,Costa Rica
610463 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610469 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610510 - Of cotton,,,,3,3,,,Costa Rica
610520 - Of man-made fibres,,,,2,2,,,Costa Rica
610590 - Of other textile materials,,,,2,2,,,Costa Rica
610610 - Of cotton,,,,1,1,,,Costa Rica
610620 - Of man-made fibres,,,,2,2,,,Costa Rica
610690 - Of other textile materials,,,,3,3,,,Costa Rica
610711 -- Of cotton,,,,1,1,,,Costa Rica
610712 -- Of man-made fibres,,,,2,2,,,Costa Rica
610719 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610721 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610722 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610729 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610791 -- Of cotton,,10.00,10.00,2,,,,Costa Rica
610799 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610811 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610819 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610821 -- Of cotton,,,,1,1,,,Costa Rica
610822 -- Of man-made fibres,,,,2,2,,,Costa Rica
610829 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610831 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610832 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610839 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610891 -- Of cotton,,,,1,1,,,Costa Rica
610892 -- Of man-made fibres,,,,2,2,,,Costa Rica
610899 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610910 - Of cotton,,,,1,1,,,Costa Rica
610990 - Of other textile materials,,,,5,5,,,Costa Rica
611011 -- Of wool,,,,3,3,,,Costa Rica
611012 -- Of Kashmir (cashmere) goats,,,,1,1,,,Costa Rica
611019 -- Other,,,,1,1,,,Costa Rica
611020 - Of cotton,,,,1,1,,,Costa Rica
611030 - Of man-made fibres,,,,2,2,,,Costa Rica
611090 - Of other textile materials,,,,1,1,,,Costa Rica
611120 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611190 - Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611211 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611219 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
611220 - Ski suits,,10.00,10.00,6,,,,Costa Rica
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611239 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611249 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Costa Rica
611420 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611430 - Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
611490 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Costa Rica
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Costa Rica
611529 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611595 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611599 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Costa Rica
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611692 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611699 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,5,,,,Costa Rica
611780 - Other accessories,,10.00,10.00,5,,,,Costa Rica
611790 - Parts,,10.00,10.00,1,,,,Costa Rica
,2009,,10.00,10.00,191,60,,,Costa Rica
610120 - Of cotton,,,,1,1,,,Costa Rica
610130 - Of man-made fibres,,,,2,2,,,Costa Rica
610190 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610210 - Of wool or fine animal hair,,,,1,1,,,Costa Rica
610220 - Of cotton,,,,1,1,,,Costa Rica
610230 - Of man-made fibres,,,,2,2,,,Costa Rica
610290 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610310 - Suits,,10.00,10.00,4,,,,Costa Rica
610322 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610329 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610332 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610339 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610342 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610349 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610419 -- Of other textile materials,,,,3,3,,,Costa Rica
610422 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610429 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610432 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610439 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610441 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610442 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610443 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610444 -- Of artificial fibres,,,,1,1,,,Costa Rica
610449 -- Of other textile materials,,,,2,2,,,Costa Rica
610451 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610452 -- Of cotton,,,,1,1,,,Costa Rica
610453 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610459 -- Of other textile materials,,,,3,3,,,Costa Rica
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610462 -- Of cotton,,,,1,1,,,Costa Rica
610463 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610469 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610510 - Of cotton,,,,3,3,,,Costa Rica
610520 - Of man-made fibres,,,,2,2,,,Costa Rica
610590 - Of other textile materials,,,,2,2,,,Costa Rica
610610 - Of cotton,,,,1,1,,,Costa Rica
610620 - Of man-made fibres,,,,2,2,,,Costa Rica
610690 - Of other textile materials,,,,3,3,,,Costa Rica
610711 -- Of cotton,,,,1,1,,,Costa Rica
610712 -- Of man-made fibres,,,,2,2,,,Costa Rica
610719 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610721 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610722 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610729 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610791 -- Of cotton,,10.00,10.00,2,,,,Costa Rica
610799 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610811 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610819 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610821 -- Of cotton,,,,1,1,,,Costa Rica
610822 -- Of man-made fibres,,,,2,2,,,Costa Rica
610829 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610831 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610832 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610839 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610891 -- Of cotton,,,,1,1,,,Costa Rica
610892 -- Of man-made fibres,,,,2,2,,,Costa Rica
610899 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610910 - Of cotton,,,,1,1,,,Costa Rica
610990 - Of other textile materials,,,,5,5,,,Costa Rica
611011 -- Of wool,,,,3,3,,,Costa Rica
611012 -- Of Kashmir (cashmere) goats,,,,1,1,,,Costa Rica
611019 -- Other,,,,1,1,,,Costa Rica
611020 - Of cotton,,,,1,1,,,Costa Rica
611030 - Of man-made fibres,,,,2,2,,,Costa Rica
611090 - Of other textile materials,,,,1,1,,,Costa Rica
611120 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611190 - Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611211 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611219 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
611220 - Ski suits,,10.00,10.00,6,,,,Costa Rica
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611239 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611249 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Costa Rica
611420 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611430 - Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
611490 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Costa Rica
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Costa Rica
611529 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611595 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611599 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Costa Rica
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611692 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611699 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,5,,,,Costa Rica
611780 - Other accessories,,10.00,10.00,5,,,,Costa Rica
611790 - Parts,,10.00,10.00,1,,,,Costa Rica
,2008,,10.00,10.00,191,61,,,Costa Rica
610120 - Of cotton,,,,1,1,,,Costa Rica
610130 - Of man-made fibres,,,,2,2,,,Costa Rica
610190 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610210 - Of wool or fine animal hair,,,,1,1,,,Costa Rica
610220 - Of cotton,,,,1,1,,,Costa Rica
610230 - Of man-made fibres,,,,2,2,,,Costa Rica
610290 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610310 - Suits,,10.00,10.00,4,,,,Costa Rica
610322 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610329 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610332 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610339 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610342 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610349 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610419 -- Of other textile materials,,,,3,3,,,Costa Rica
610422 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610429 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610432 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610439 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610441 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610442 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610443 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610444 -- Of artificial fibres,,,,1,1,,,Costa Rica
610449 -- Of other textile materials,,,,2,2,,,Costa Rica
610451 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610452 -- Of cotton,,,,1,1,,,Costa Rica
610453 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610459 -- Of other textile materials,,,,3,3,,,Costa Rica
610461 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610462 -- Of cotton,,,,1,1,,,Costa Rica
610463 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610469 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610510 - Of cotton,,,,3,3,,,Costa Rica
610520 - Of man-made fibres,,,,2,2,,,Costa Rica
610590 - Of other textile materials,,,,2,2,,,Costa Rica
610610 - Of cotton,,,,1,1,,,Costa Rica
610620 - Of man-made fibres,,,,2,2,,,Costa Rica
610690 - Of other textile materials,,,,3,3,,,Costa Rica
610711 -- Of cotton,,,,1,1,,,Costa Rica
610712 -- Of man-made fibres,,,,2,2,,,Costa Rica
610719 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610721 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610722 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610729 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610791 -- Of cotton,,10.00,10.00,2,,,,Costa Rica
610799 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610811 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610819 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610821 -- Of cotton,,,,1,1,,,Costa Rica
610822 -- Of man-made fibres,,,,2,2,,,Costa Rica
610829 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610831 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610832 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610839 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610891 -- Of cotton,,,,1,1,,,Costa Rica
610892 -- Of man-made fibres,,,,2,2,,,Costa Rica
610899 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610910 - Of cotton,,,,1,1,,,Costa Rica
610990 - Of other textile materials,,,,5,5,,,Costa Rica
611011 -- Of wool,,,,3,3,,,Costa Rica
611012 -- Of Kashmir (cashmere) goats,,,,1,1,,,Costa Rica
611019 -- Other,,,,1,1,,,Costa Rica
611020 - Of cotton,,,,1,1,,,Costa Rica
611030 - Of man-made fibres,,,,2,2,,,Costa Rica
611090 - Of other textile materials,,,,1,1,,,Costa Rica
611120 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611130 - Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611190 - Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611211 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611219 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
611220 - Ski suits,,10.00,10.00,6,,,,Costa Rica
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611239 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611249 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,Costa Rica
611420 - Of cotton,,10.00,10.00,1,,,,Costa Rica
611430 - Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
611490 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,1,,,,Costa Rica
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,Costa Rica
611529 -- Of other textile materials,,10.00,10.00,4,,,,Costa Rica
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,Costa Rica
611594 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611595 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611596 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611599 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,Costa Rica
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
611692 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
611699 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,5,,,,Costa Rica
611780 - Other accessories,,10.00,10.00,5,,,,Costa Rica
611790 - Parts,,10.00,10.00,1,,,,Costa Rica
,2007,,10.00,10.00,191,60,,,Costa Rica
610120 - Of cotton,,,,1,1,,,Costa Rica
610130 - Of man-made fibres,,,,2,2,,,Costa Rica
610190 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610210 - Of wool or fine animal hair,,,,1,1,,,Costa Rica
610220 - Of cotton,,,,1,1,,,Costa Rica
610230 - Of man-made fibres,,,,2,2,,,Costa Rica
610290 - Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610310 - Suits,,10.00,10.00,4,,,,Costa Rica
610322 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610329 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610332 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610339 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610342 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610349 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610419 -- Of other textile materials,,,,3,3,,,Costa Rica
610422 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610429 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610432 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Costa Rica
610439 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610441 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610442 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610443 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610444 -- Of artificial fibres,,,,1,1,,,Costa Rica
610449 -- Of other textile materials,,,,2,2,,,Costa Rica
610451 -- Of wool or fine animal hair,,,,1,1,,,Costa Rica
610452 -- Of cotton,,,,1,1,,,Costa Rica
610453 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610459 -- Of other textile materials,,,,3,3,,,Costa Rica
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Costa Rica
610462 -- Of cotton,,,,1,1,,,Costa Rica
610463 -- Of synthetic fibres,,,,1,1,,,Costa Rica
610469 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610510 - Of cotton,,,,3,3,,,Costa Rica
610520 - Of man-made fibres,,,,2,2,,,Costa Rica
610590 - Of other textile materials,,,,2,2,,,Costa Rica
610610 - Of cotton,,,,1,1,,,Costa Rica
610620 - Of man-made fibres,,,,2,2,,,Costa Rica
610690 - Of other textile materials,,,,3,3,,,Costa Rica
610711 -- Of cotton,,,,1,1,,,Costa Rica
610712 -- Of man-made fibres,,,,2,2,,,Costa Rica
610719 -- Of other textile materials,,10.00,10.00,2,,,,Costa Rica
610721 -- Of cotton,,10.00,10.00,1,,,,Costa Rica
610722 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610729 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610791 -- Of cotton,,10.00,10.00,2,,,,Costa Rica
610799 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610811 -- Of man-made fibres,,10.00,10.00,2,,,,Costa Rica
610819 -- Of other textile materials,,10.00,10.00,3,,,,Costa Rica
610821 -- Of cotton,,,,1,1,,,Costa Rica
610822 -- Of man-made fibres,,,,2,2,,,Costa Rica
