Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
870431 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870432 -- g.v.w. exceeding 5 tonnes,,15.83,15.83,3,,,,Armenia
870490 - Other,,10.00,10.00,1,,,,Armenia
870510 - Crane lorries,,3.70,3.70,1,,,,Armenia
870520 - Mobile drilling derricks,,3.70,3.70,1,,,,Armenia
870530 - Fire fighting vehicles,,3.70,3.70,1,,,,Armenia
870540 - Concrete-mixer lorries,"4,110",3.70,3.70,1,,,,Armenia
870590 - Other,,3.70,3.70,3,,,,Armenia
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,9.88,4,,,,Armenia
870710 - For the vehicles of heading 87.03,,4.50,4.50,2,,,,Armenia
870790 - Other,,4.50,4.50,2,,,,Armenia
870810 - Bumpers and parts thereof,,3.75,3.75,2,,,,Armenia
870821 -- Safety seat belts,,3.75,3.75,2,,,,Armenia
870829 -- Other,,3.75,3.75,2,,,,Armenia
870830 - Brakes and servo-brakes; parts thereof,,4.00,4.00,3,,,,Armenia
870840 - Gear boxes and parts thereof,,3.88,3.88,4,,,,Armenia
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,4.00,4.00,5,,,,Armenia
870870 - Road wheels and parts and accessories thereof,,3.75,3.75,4,,,,Armenia
870880 - Suspension systems and parts thereof (including shock-absorbers),,3.80,3.80,5,,,,Armenia
870891 -- Radiators and parts thereof,,3.88,3.88,4,,,,Armenia
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,3.88,4,,,,Armenia
870893 -- Clutches and parts thereof,,3.75,3.75,2,,,,Armenia
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",,3.88,3.88,4,,,,Armenia
870895 -- Safety airbags with inflater system; parts thereof,,3.67,3.67,3,,,,Armenia
870899 -- Other,398,3.67,3.67,3,,,,Armenia
870911 -- Electrical,,3.00,3.00,2,,,,Armenia
870919 -- Other,,3.00,3.00,2,,,,Armenia
870990 - Parts,,3.50,3.50,1,,,,Armenia
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,1.70,1,,,,Armenia
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,8.00,1,,,,Armenia
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,8.00,4,,,,Armenia
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,6.00,2,,,,Armenia
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871190 - Other,,6.00,6.00,1,,,,Armenia
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.67,14.67,3,,,,Armenia
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Armenia
871390 - Other,,0.00,0.00,1,,,,Armenia
871411 -- Saddles,,3.70,3.70,1,,,,Armenia
871419 -- Other,,3.70,3.70,1,,,,Armenia
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Armenia
"871491 -- Frames and forks, and parts thereof",,4.70,4.70,3,,,,Armenia
871492 -- Wheel rims and spokes,650,4.70,4.70,2,,,,Armenia
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,4.70,2,,,,Armenia
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,4.70,3,,,,Armenia
871495 -- Saddles,,4.70,4.70,1,,,,Armenia
"871496 -- Pedals and crank-gear, and parts thereof",,4.70,4.70,3,,,,Armenia
871499 -- Other,,4.70,4.70,4,,,,Armenia
871500 Baby carriages and parts thereof.,,2.70,2.70,2,,,,Armenia
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,2.70,5,,,,Armenia
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,2.70,1,,,,Armenia
871631 -- Tanker trailers and tanker semi-trailers,,2.70,2.70,1,,,,Armenia
871639 -- Other,,2.70,2.70,5,,,,Armenia
871640 - Other trailers and semi-trailers,,2.70,2.70,1,,,,Armenia
871680 - Other vehicles,,1.70,1.70,1,,,,Armenia
871690 - Parts,,1.70,1.70,4,,,,Armenia
,2009,"84,330",6.30,6.30,188,,,,Armenia
870110 - Pedestrian controlled tractors,,3.00,3.00,1,,,,Armenia
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,Armenia
870130 - Track-laying tractors,,0.00,0.00,1,,,,Armenia
870190 - Other,,0.88,0.88,8,,,,Armenia
870210 - With compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,Armenia
870290 - Other,,12.40,12.40,5,,,,Armenia
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,Armenia
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",460,10.00,10.00,2,,,,Armenia
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","36,823",10.00,10.00,3,,,,Armenia
"870324 -- Of a cylinder capacity exceeding 3,000 cc","31,969",10.00,10.00,2,,,,Armenia
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
870390 - Other,,10.00,10.00,2,,,,Armenia
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Armenia
870421 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870423 -- g.v.w. exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870431 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870432 -- g.v.w. exceeding 5 tonnes,,15.83,15.83,3,,,,Armenia
870490 - Other,,10.00,10.00,1,,,,Armenia
870510 - Crane lorries,,3.70,3.70,1,,,,Armenia
870520 - Mobile drilling derricks,,3.70,3.70,1,,,,Armenia
870530 - Fire fighting vehicles,,3.70,3.70,1,,,,Armenia
870540 - Concrete-mixer lorries,,3.70,3.70,1,,,,Armenia
870590 - Other,,3.70,3.70,3,,,,Armenia
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,9.88,4,,,,Armenia
870710 - For the vehicles of heading 87.03,,4.50,4.50,2,,,,Armenia
870790 - Other,,4.50,4.50,2,,,,Armenia
870810 - Bumpers and parts thereof,,3.75,3.75,2,,,,Armenia
870821 -- Safety seat belts,,3.75,3.75,2,,,,Armenia
870829 -- Other,,3.75,3.75,2,,,,Armenia
870830 - Brakes and servo-brakes; parts thereof,,4.00,4.00,3,,,,Armenia
870840 - Gear boxes and parts thereof,,3.88,3.88,4,,,,Armenia
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,4.00,4.00,5,,,,Armenia
870870 - Road wheels and parts and accessories thereof,,3.75,3.75,4,,,,Armenia
870880 - Suspension systems and parts thereof (including shock-absorbers),,3.80,3.80,5,,,,Armenia
870891 -- Radiators and parts thereof,,3.88,3.88,4,,,,Armenia
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,3.88,4,,,,Armenia
870893 -- Clutches and parts thereof,,3.75,3.75,2,,,,Armenia
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",,3.88,3.88,4,,,,Armenia
870895 -- Safety airbags with inflater system; parts thereof,,3.67,3.67,3,,,,Armenia
870899 -- Other,"3,194",3.67,3.67,3,,,,Armenia
870911 -- Electrical,,3.00,3.00,2,,,,Armenia
870919 -- Other,,3.00,3.00,2,,,,Armenia
870990 - Parts,,3.50,3.50,1,,,,Armenia
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,1.70,1,,,,Armenia
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,8.00,1,,,,Armenia
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,8.00,4,,,,Armenia
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,6.00,2,,,,Armenia
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,446,6.00,6.00,1,,,,Armenia
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871190 - Other,,6.00,6.00,1,,,,Armenia
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.67,14.67,3,,,,Armenia
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Armenia
871390 - Other,,0.00,0.00,1,,,,Armenia
871411 -- Saddles,,3.70,3.70,1,,,,Armenia
871419 -- Other,,3.70,3.70,1,,,,Armenia
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Armenia
"871491 -- Frames and forks, and parts thereof",,4.70,4.70,3,,,,Armenia
871492 -- Wheel rims and spokes,,4.70,4.70,2,,,,Armenia
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,4.70,2,,,,Armenia
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,4.70,3,,,,Armenia
871495 -- Saddles,,4.70,4.70,1,,,,Armenia
"871496 -- Pedals and crank-gear, and parts thereof",,4.70,4.70,3,,,,Armenia
871499 -- Other,,4.70,4.70,4,,,,Armenia
871500 Baby carriages and parts thereof.,,2.70,2.70,2,,,,Armenia
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,2.70,5,,,,Armenia
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,2.70,1,,,,Armenia
871631 -- Tanker trailers and tanker semi-trailers,,2.70,2.70,1,,,,Armenia
871639 -- Other,,2.70,2.70,5,,,,Armenia
871640 - Other trailers and semi-trailers,"11,437",2.70,2.70,1,,,,Armenia
871680 - Other vehicles,,1.70,1.70,1,,,,Armenia
871690 - Parts,,1.70,1.70,4,,,,Armenia
,2008,"2,739",6.27,6.27,189,,,,Armenia
870110 - Pedestrian controlled tractors,,3.00,3.00,1,,,,Armenia
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,Armenia
870130 - Track-laying tractors,,0.00,0.00,2,,,,Armenia
870190 - Other,,0.88,0.88,8,,,,Armenia
870210 - With compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,Armenia
870290 - Other,,12.40,12.40,5,,,,Armenia
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,Armenia
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,10.00,10.00,2,,,,Armenia
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",366,10.00,10.00,2,,,,Armenia
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,10.00,3,,,,Armenia
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,10.00,10.00,2,,,,Armenia
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
870390 - Other,,10.00,10.00,2,,,,Armenia
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Armenia
870421 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870423 -- g.v.w. exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870431 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870432 -- g.v.w. exceeding 5 tonnes,,15.83,15.83,3,,,,Armenia
870490 - Other,,10.00,10.00,1,,,,Armenia
870510 - Crane lorries,,3.70,3.70,1,,,,Armenia
870520 - Mobile drilling derricks,,3.70,3.70,1,,,,Armenia
870530 - Fire fighting vehicles,,3.70,3.70,1,,,,Armenia
870540 - Concrete-mixer lorries,,3.70,3.70,1,,,,Armenia
870590 - Other,,3.70,3.70,3,,,,Armenia
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,9.88,4,,,,Armenia
870710 - For the vehicles of heading 87.03,,4.50,4.50,2,,,,Armenia
870790 - Other,,4.50,4.50,2,,,,Armenia
870810 - Bumpers and parts thereof,,3.75,3.75,2,,,,Armenia
870821 -- Safety seat belts,,3.75,3.75,2,,,,Armenia
870829 -- Other,,3.75,3.75,2,,,,Armenia
870830 - Brakes and servo-brakes; parts thereof,,4.00,4.00,3,,,,Armenia
870840 - Gear boxes and parts thereof,,3.88,3.88,4,,,,Armenia
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,4.00,4.00,5,,,,Armenia
870870 - Road wheels and parts and accessories thereof,,3.75,3.75,4,,,,Armenia
870880 - Suspension systems and parts thereof (including shock-absorbers),,3.80,3.80,5,,,,Armenia
870891 -- Radiators and parts thereof,,3.88,3.88,4,,,,Armenia
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,3.88,4,,,,Armenia
870893 -- Clutches and parts thereof,,3.75,3.75,2,,,,Armenia
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",,3.88,3.88,4,,,,Armenia
870895 -- Safety airbags with inflater system; parts thereof,,3.67,3.67,3,,,,Armenia
870899 -- Other,"2,373",3.67,3.67,3,,,,Armenia
870911 -- Electrical,,3.00,3.00,2,,,,Armenia
870919 -- Other,,3.00,3.00,2,,,,Armenia
870990 - Parts,,3.50,3.50,1,,,,Armenia
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,1.70,1,,,,Armenia
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,8.00,1,,,,Armenia
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,8.00,4,,,,Armenia
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,6.00,2,,,,Armenia
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871190 - Other,,6.00,6.00,1,,,,Armenia
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.67,14.67,3,,,,Armenia
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Armenia
871390 - Other,,0.00,0.00,1,,,,Armenia
871411 -- Saddles,,3.70,3.70,1,,,,Armenia
871419 -- Other,,3.70,3.70,1,,,,Armenia
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Armenia
"871491 -- Frames and forks, and parts thereof",,4.70,4.70,3,,,,Armenia
871492 -- Wheel rims and spokes,,4.70,4.70,2,,,,Armenia
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,4.70,2,,,,Armenia
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,4.70,3,,,,Armenia
871495 -- Saddles,,4.70,4.70,1,,,,Armenia
"871496 -- Pedals and crank-gear, and parts thereof",,4.70,4.70,3,,,,Armenia
871499 -- Other,,4.70,4.70,4,,,,Armenia
871500 Baby carriages and parts thereof.,,2.70,2.70,2,,,,Armenia
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,2.70,5,,,,Armenia
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,2.70,1,,,,Armenia
871631 -- Tanker trailers and tanker semi-trailers,,2.70,2.70,1,,,,Armenia
871639 -- Other,,2.70,2.70,5,,,,Armenia
871640 - Other trailers and semi-trailers,,2.70,2.70,1,,,,Armenia
871680 - Other vehicles,,1.70,1.70,1,,,,Armenia
871690 - Parts,,1.70,1.70,4,,,,Armenia
,2007,"45,939",6.27,6.27,189,,,,Armenia
870110 - Pedestrian controlled tractors,,3.00,3.00,1,,,,Armenia
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,Armenia
870130 - Track-laying tractors,,0.00,0.00,2,,,,Armenia
870190 - Other,,0.88,0.88,8,,,,Armenia
870210 - With compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,Armenia
870290 - Other,,12.40,12.40,5,,,,Armenia
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,Armenia
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,10.00,10.00,2,,,,Armenia
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","39,525",10.00,10.00,3,,,,Armenia
"870324 -- Of a cylinder capacity exceeding 3,000 cc","5,811",10.00,10.00,2,,,,Armenia
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",315,10.00,10.00,3,,,,Armenia
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
870390 - Other,,10.00,10.00,2,,,,Armenia
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Armenia
870421 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870423 -- g.v.w. exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870431 -- g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870432 -- g.v.w. exceeding 5 tonnes,,15.83,15.83,3,,,,Armenia
870490 - Other,,10.00,10.00,1,,,,Armenia
870510 - Crane lorries,,3.70,3.70,1,,,,Armenia
870520 - Mobile drilling derricks,,3.70,3.70,1,,,,Armenia
870530 - Fire fighting vehicles,,3.70,3.70,1,,,,Armenia
870540 - Concrete-mixer lorries,,3.70,3.70,1,,,,Armenia
870590 - Other,,3.70,3.70,3,,,,Armenia
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,9.88,4,,,,Armenia
870710 - For the vehicles of heading 87.03,,4.50,4.50,2,,,,Armenia
870790 - Other,,4.50,4.50,2,,,,Armenia
870810 - Bumpers and parts thereof,,3.75,3.75,2,,,,Armenia
870821 -- Safety seat belts,,3.75,3.75,2,,,,Armenia
870829 -- Other,,3.75,3.75,2,,,,Armenia
870830 - Brakes and servo-brakes; parts thereof,,4.00,4.00,3,,,,Armenia
870840 - Gear boxes and parts thereof,,3.88,3.88,4,,,,Armenia
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,4.00,4.00,5,,,,Armenia
870870 - Road wheels and parts and accessories thereof,,3.75,3.75,4,,,,Armenia
870880 - Suspension systems and parts thereof (including shock-absorbers),,3.80,3.80,5,,,,Armenia
870891 -- Radiators and parts thereof,,3.88,3.88,4,,,,Armenia
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,3.88,4,,,,Armenia
870893 -- Clutches and parts thereof,,3.75,3.75,2,,,,Armenia
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",,3.88,3.88,4,,,,Armenia
870895 -- Safety airbags with inflater system; parts thereof,,3.67,3.67,3,,,,Armenia
870899 -- Other,288,3.67,3.67,3,,,,Armenia
870911 -- Electrical,,3.00,3.00,2,,,,Armenia
870919 -- Other,,3.00,3.00,2,,,,Armenia
870990 - Parts,,3.50,3.50,1,,,,Armenia
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,1.70,1,,,,Armenia
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,8.00,1,,,,Armenia
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,8.00,4,,,,Armenia
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,6.00,2,,,,Armenia
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871190 - Other,,6.00,6.00,1,,,,Armenia
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.67,14.67,3,,,,Armenia
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Armenia
871390 - Other,,0.00,0.00,1,,,,Armenia
871411 -- Saddles,,3.70,3.70,1,,,,Armenia
871419 -- Other,,3.70,3.70,1,,,,Armenia
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Armenia
"871491 -- Frames and forks, and parts thereof",,4.70,4.70,3,,,,Armenia
871492 -- Wheel rims and spokes,,4.70,4.70,2,,,,Armenia
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,4.70,2,,,,Armenia
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,4.70,3,,,,Armenia
871495 -- Saddles,,4.70,4.70,1,,,,Armenia
"871496 -- Pedals and crank-gear, and parts thereof",,4.70,4.70,3,,,,Armenia
871499 -- Other,,4.70,4.70,4,,,,Armenia
871500 Baby carriages and parts thereof.,,2.70,2.70,2,,,,Armenia
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,2.70,5,,,,Armenia
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,2.70,1,,,,Armenia
871631 -- Tanker trailers and tanker semi-trailers,,2.70,2.70,1,,,,Armenia
871639 -- Other,,2.70,2.70,5,,,,Armenia
871640 - Other trailers and semi-trailers,,2.70,2.70,1,,,,Armenia
871680 - Other vehicles,,1.70,1.70,1,,,,Armenia
871690 - Parts,,1.70,1.70,4,,,,Armenia
,2006,,6.38,6.38,180,,,,Armenia
870110 - Pedestrian controlled tractors,,3.00,3.00,1,,,,Armenia
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,Armenia
870130 - Track-laying tractors,,0.00,0.00,2,,,,Armenia
870190 - Other,,0.88,0.88,8,,,,Armenia
870210 - With compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,Armenia
870290 - Other,,12.40,12.40,5,,,,Armenia
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,Armenia
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,10.00,10.00,2,,,,Armenia
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,10.00,3,,,,Armenia
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,10.00,10.00,2,,,,Armenia
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,Armenia
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,Armenia
870390 - Other,,10.00,10.00,2,,,,Armenia
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Armenia
870421 --g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870422 --g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870423 --g.v.w. exceeding 20 tonnes,,15.83,15.83,3,,,,Armenia
870431 --g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,Armenia
870432 --g.v.w. exceeding 5 tonnes,,15.83,15.83,3,,,,Armenia
870490 - Other,,10.00,10.00,1,,,,Armenia
870510 - Crane lorries (mobile cranes),,3.70,3.70,1,,,,Armenia
870520 - Mobile drilling derricks,,3.70,3.70,1,,,,Armenia
870530 - Fire fighting vehicles,,3.70,3.70,1,,,,Armenia
870540 - Concrete-mixer lorries (concrete-mixers),,3.70,3.70,1,,,,Armenia
870590 - Other,,3.70,3.70,3,,,,Armenia
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,9.88,4,,,,Armenia
870710 - For the vehicles of heading 87.03,,4.50,4.50,2,,,,Armenia
870790 - Other,,4.50,4.50,2,,,,Armenia
870810 - Bumpers and parts thereof,,3.75,3.75,2,,,,Armenia
870821 -- Safety seat belts,,3.75,3.75,2,,,,Armenia
870829 -- Other,,3.75,3.75,2,,,,Armenia
870831 -- Mounted brake linings,,4.00,4.00,3,,,,Armenia
870839 -- Other,,3.75,3.75,2,,,,Armenia
870840 - Gear boxes (transmissions),,3.75,3.75,2,,,,Armenia
"870850 - Drive- Axles with differential, whether or not provided with other transmission components",,3.75,3.75,2,,,,Armenia
870860 - Non-driving axles and parts thereof,,4.00,4.00,3,,,,Armenia
870870 - Road wheels and parts and accessories thereof,,3.75,3.75,4,,,,Armenia
870880 - Suspension shock- Absorbers,,3.75,3.75,2,,,,Armenia
870891 -- Radiators,,3.75,3.75,2,,,,Armenia
870892 -- Silencers (mufflers) and exhaust pipes,,3.75,3.75,2,,,,Armenia
870893 -- Clutches and parts thereof,,3.75,3.75,2,,,,Armenia
"870894 -- Steering wheels, steering columns and steering boxes",,3.75,3.75,2,,,,Armenia
870899 -- Other,,3.50,3.50,6,,,,Armenia
870911 -- Electrical,,3.00,3.00,2,,,,Armenia
870919 -- Other,,3.00,3.00,2,,,,Armenia
870990 - Parts,,3.50,3.50,1,,,,Armenia
"871000 Tanks and other armoured fighting vehicles, motorized, whether or not fitted with weapons, and parts of such vehicles.",,1.70,1.70,1,,,,Armenia
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,8.00,1,,,,Armenia
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,8.00,4,,,,Armenia
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,6.00,2,,,,Armenia
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,6.00,1,,,,Armenia
871190 - Other,,6.00,6.00,1,,,,Armenia
"871200 Bicycles and other cycles (including delivery tricycles), not motorized.",,15.00,15.00,3,,,,Armenia
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Armenia
871390 - Other,,0.00,0.00,1,,,,Armenia
